"pipeline","has_gsr","metric","mean_PSIL","mean_MTP","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR","sig_raw","sig_FDR","sign_dz","sign_primary","dz_primary","dir_match"
"TEDANA+aCompCor",FALSE,"mean_strength",115.51142599684,76.1560147480605,39.3554112487799,0.0632296612878115,0.0591720678258594,0.971293512870366,1.50077878082615,0.335418236449864,"parallel (t + Wilcoxon)",0.117426513820221,FALSE,FALSE,1,1,0.971293512870366,TRUE
"TEDANA+aCompCor",FALSE,"global_efficiency",0.530005260461026,0.394722025864734,0.135283234596291,0.0811350781962987,0.0591720678258594,0.889893170782723,1.38752315693742,0.369020955615758,"parallel (t + Wilcoxon)",0.131844502068985,FALSE,FALSE,1,1,0.889893170782723,TRUE
"TEDANA+aCompCor",FALSE,"char_path_length",2.38664727083453,3.25210851953424,-0.86546124869971,0.0521485251668724,0.0591720678258594,-1.03530951544767,-1.53493593366605,0.952239428921413,"parallel (t + Wilcoxon)",0.117426513820221,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"TEDANA+aCompCor",FALSE,"density",0.196254416082002,0.180306762203314,0.0159476538786883,0.113371361971768,0.0934924836898357,0.782591082550288,1.20852441557621,0.490979928637226,"parallel (t + Wilcoxon)",0.163758633959221,FALSE,FALSE,1,1,0.782591082550288,TRUE
"TEDANA+aCompCor",FALSE,"clustering",0.719766099159259,0.68268685326779,0.037079245891469,0.0630323628118933,0.0934924836898357,0.972323510589223,0.988768909204618,0.778708214342307,"parallel (t + Wilcoxon)",0.117426513820221,FALSE,FALSE,1,1,0.972323510589223,TRUE
"TEDANA+aCompCor",FALSE,"modularity",0.337435917491377,0.379667697820189,-0.0422317803288115,0.187736371011587,0.29450739368011,-0.622641653373172,-0.44762039609814,0.414560899457191,"parallel (t + Wilcoxon)",0.221870256650057,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"TEDANA+aCompCor",FALSE,"assortativity",0.205467669091584,0.364214558636015,-0.158746889544431,0.0487737014910757,0.0591720678258594,-1.05779940989714,-1.37580250784433,0.211871783435988,"parallel (t + Wilcoxon)",0.117426513820221,TRUE,FALSE,-1,-1,-1.05779940989714,TRUE
"TEDANA+aCompCor",FALSE,"small_worldness",2.64249231029042,2.27308110008128,0.369411210209132,0.165762559535966,0.142213241936393,0.662116786827915,1.15196235812811,0.839517431890843,"parallel (t + Wilcoxon)",0.215491327396755,FALSE,FALSE,1,1,0.662116786827915,TRUE
"TEDANA+aCompCor",FALSE,"eigenvector",0.681415683178938,0.600867590669663,0.0805480925092749,0.0271631279898329,0.0591720678258594,1.26143843965516,1.78478067565443,0.530700848357221,"parallel (t + Wilcoxon)",0.117426513820221,TRUE,FALSE,1,1,1.26143843965516,TRUE
"TEDANA+aCompCor",FALSE,"betweenness",81.6824712643678,108.931752873563,-27.2492816091954,0.047701145008096,0.0591720678258594,-1.06530582356563,-1.34479931649018,0.674178938104076,"parallel (t + Wilcoxon)",0.117426513820221,TRUE,FALSE,-1,-1,-1.06530582356563,TRUE
"TEDANA+aCompCor",FALSE,"closeness",0.0034176675807688,0.0035329544779309,-0.000115286897162102,0.947299107301648,1,-0.0283659638346467,-0.044259944047362,0.634271045070084,"parallel (t + Wilcoxon)",0.947299107301648,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"TEDANA+aCompCor",FALSE,"participation",0.276862278798134,0.302943085021016,-0.0260808062228817,0.0417058648007336,0.0360316862182336,-1.11100230107444,-0.38299391352046,0.493578677123876,"parallel (t + Wilcoxon)",0.117426513820221,TRUE,FALSE,-1,-1,-1.11100230107444,TRUE
"TEDANA+aCompCor",FALSE,"degree_entropy",5.95714942220749,5.91365294804541,0.0434964741620779,0.646849709237208,0.529368106184798,0.198820958841412,0.266350540704005,0.261604191428161,"parallel (t + Wilcoxon)",0.700753851673642,FALSE,FALSE,1,1,0.198820958841412,TRUE
"TEDANA",FALSE,"mean_strength",124.465728855517,90.6263346459784,33.8393942095383,0.0654950594662496,0.0934924836898357,0.959709869363074,1.36693731140895,0.10040811802978,"parallel (t + Wilcoxon)",0.169920673081058,FALSE,FALSE,1,1,0.971293512870366,TRUE
"TEDANA",FALSE,"global_efficiency",0.579991401549425,0.463004514763916,0.116986886785509,0.0552956736965388,0.0591720678258594,1.01572590237867,1.39303299598264,0.0529244148806572,"parallel (t + Wilcoxon)",0.169920673081058,FALSE,FALSE,1,1,0.889893170782723,TRUE
"TEDANA",FALSE,"char_path_length",2.03766953805393,2.57998500256479,-0.542315464510854,0.0872336018204993,0.0934924836898357,-0.866489394196579,-1.26691378414081,0.887135231154305,"parallel (t + Wilcoxon)",0.169920673081058,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"TEDANA",FALSE,"density",0.188317908145494,0.178714484748968,0.00960342339652685,0.44037197584291,0.401678166469773,0.342005509643971,0.506962232319982,0.846434810749208,"parallel (t + Wilcoxon)",0.520439607814349,FALSE,FALSE,1,1,0.782591082550288,TRUE
"TEDANA",FALSE,"clustering",0.66888218161191,0.637620297613158,0.0312618839987515,0.0914957470436465,0.0934924836898357,0.851138665992114,0.719000169136094,0.962940984091338,"parallel (t + Wilcoxon)",0.169920673081058,FALSE,FALSE,1,1,0.972323510589223,TRUE
"TEDANA",FALSE,"modularity",0.321262919753475,0.365479770960693,-0.0442168512072186,0.315907303126172,0.208412803684149,-0.454827092976755,-0.47938343440132,0.334588571184197,"parallel (t + Wilcoxon)",0.410679494064024,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"TEDANA",FALSE,"assortativity",0.167327642281562,0.308880336709289,-0.141552694427727,0.0577760336923617,0.142213241936393,-1.00112855487805,-1.31131724605648,0.140841256731923,"parallel (t + Wilcoxon)",0.169920673081058,FALSE,FALSE,-1,-1,-1.05779940989714,TRUE
"TEDANA",FALSE,"small_worldness",2.90604406149455,2.5651968999586,0.340847161535951,0.0220651526665945,0.0591720678258594,1.33719739567958,1.45114134852199,0.108845345482539,"parallel (t + Wilcoxon)",0.143423492332864,TRUE,FALSE,1,1,0.662116786827915,TRUE
"TEDANA",FALSE,"eigenvector",0.694813132305688,0.632235510778843,0.0625776215268447,0.0189724078701167,0.0360316862182336,1.39353273935489,2.00581950520008,0.412008337571187,"parallel (t + Wilcoxon)",0.143423492332864,TRUE,FALSE,1,1,1.26143843965516,TRUE
"TEDANA",FALSE,"betweenness",103.40158045977,127.644396551724,-24.242816091954,0.128206333458849,0.142213241936393,-0.743513472042756,-1.01018044671862,0.675708092595297,"parallel (t + Wilcoxon)",0.20833529187063,FALSE,FALSE,-1,-1,-1.06530582356563,TRUE
"TEDANA",FALSE,"closeness",0.00232347852201314,0.00272015719758378,-0.000396678675570636,0.694070789388329,0.529368106184798,-0.170183763555582,-0.213677686004089,0.00359130070642526,"parallel (t + Wilcoxon)",0.751910021837356,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"TEDANA",FALSE,"participation",0.334652548773162,0.383671624520643,-0.0490190757474811,0.240672187268252,0.29450739368011,-0.543350433075728,-0.678399427891154,0.825543314021496,"parallel (t + Wilcoxon)",0.347637603831919,FALSE,FALSE,-1,-1,-1.11100230107444,TRUE
"TEDANA",FALSE,"degree_entropy",6.05444004072915,6.0675683079896,-0.0131282672604542,0.936092890333166,0.833935414088552,-0.0344132962743455,-0.0652682040569213,0.212735788377698,"parallel (t + Wilcoxon)",0.936092890333166,FALSE,FALSE,-1,1,0.198820958841412,FALSE
"TEDANA+24P",FALSE,"mean_strength",134.830791029027,99.5552095029233,35.2755815261038,0.111993754568999,0.208412803684149,0.786484057154402,1.13912174836979,0.00208279617564113,"parallel (t + Wilcoxon)",0.217421014192747,FALSE,FALSE,1,1,0.971293512870366,TRUE
"TEDANA+24P",FALSE,"global_efficiency",0.6061692514531,0.48021147053736,0.125957780915739,0.113953985078215,0.208412803684149,0.780959348501553,1.12023720938445,0.00529186412009033,"parallel (t + Wilcoxon)",0.217421014192747,FALSE,FALSE,1,1,0.889893170782723,TRUE
"TEDANA+24P",FALSE,"char_path_length",2.05947461641074,2.65534532492542,-0.595870708514682,0.103545611145066,0.208412803684149,-0.811500697708909,-1.20164954196101,0.0328080043570805,"parallel (t + Wilcoxon)",0.217421014192747,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"TEDANA+24P",FALSE,"density",0.196018062397373,0.188722197342887,0.00729586505448575,0.372892149187086,0.529368106184798,0.399355755537169,0.636873536214847,0.72708062183379,"parallel (t + Wilcoxon)",0.484759793943212,FALSE,FALSE,1,1,0.782591082550288,TRUE
"TEDANA+24P",FALSE,"clustering",0.717420111851634,0.694046163324761,0.0233739485268731,0.117072853796094,0.208412803684149,0.772368393256698,0.610893407708134,0.761761670936408,"parallel (t + Wilcoxon)",0.217421014192747,FALSE,FALSE,1,1,0.972323510589223,TRUE
"TEDANA+24P",FALSE,"modularity",0.325852049221837,0.34420333472876,-0.0183512855069231,0.577663736120408,0.674986713970489,-0.242962618884427,-0.178677668646181,0.672702797913244,"parallel (t + Wilcoxon)",0.646983678571813,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"TEDANA+24P",FALSE,"assortativity",0.183630890932638,0.283831391659713,-0.100200500727075,0.201727503202884,0.142213241936393,-0.599789818122537,-0.757404410083699,0.244762930850092,"parallel (t + Wilcoxon)",0.291384171293054,FALSE,FALSE,-1,-1,-1.05779940989714,TRUE
"TEDANA+24P",FALSE,"small_worldness",2.89465635195461,2.5469561766569,0.347700175297713,0.172122640135765,0.29450739368011,0.650186489824719,1.06058691624964,0.0123310430536046,"parallel (t + Wilcoxon)",0.279699290220619,FALSE,FALSE,1,1,0.662116786827915,TRUE
"TEDANA+24P",FALSE,"eigenvector",0.706977176303435,0.637500643277842,0.0694765330255931,0.0481831711329383,0.0591720678258594,1.06190963756805,1.58774272079443,0.170441889424269,"parallel (t + Wilcoxon)",0.217421014192747,TRUE,FALSE,1,1,1.26143843965516,TRUE
"TEDANA+24P",FALSE,"betweenness",82.8254310344828,99.5,-16.6745689655172,0.112448979283925,0.142213241936393,-0.785192184570699,-0.858666972610797,0.910473874322178,"parallel (t + Wilcoxon)",0.217421014192747,FALSE,FALSE,-1,-1,-1.06530582356563,TRUE
"TEDANA+24P",FALSE,"closeness",0.00396203182134422,0.00591659219173151,-0.0019545603703873,0.597215703297058,0.833935414088552,-0.23018499134931,-0.352717134670633,0.610709566598142,"parallel (t + Wilcoxon)",0.646983678571813,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"TEDANA+24P",FALSE,"participation",0.275269929511698,0.318121233850313,-0.042851304338615,0.0281901601127391,0.0360316862182336,-1.24811805910466,-0.726359654153053,0.138044958339662,"parallel (t + Wilcoxon)",0.217421014192747,TRUE,FALSE,-1,-1,-1.11100230107444,TRUE
"TEDANA+24P",FALSE,"degree_entropy",5.9432389739664,5.94881448070466,-0.00557550673825302,0.960891885267385,0.833935414088552,-0.0210405958596414,-0.0231309985222925,0.327662838887557,"parallel (t + Wilcoxon)",0.960891885267385,FALSE,FALSE,-1,1,0.198820958841412,FALSE
"OC+Siegel",FALSE,"mean_strength",76.7675103608126,57.7301023962294,19.0374079645832,0.179016296860119,0.208412803684149,0.637735742868075,1.03587850268099,0.227578977916082,"parallel (t + Wilcoxon)",0.438626652751631,FALSE,FALSE,1,1,0.971293512870366,TRUE
"OC+Siegel",FALSE,"global_efficiency",0.401286817577822,0.33947059535731,0.0618162222205119,0.202443070500753,0.29450739368011,0.598662552315036,0.969053440379429,0.284506266336571,"parallel (t + Wilcoxon)",0.438626652751631,FALSE,FALSE,1,1,0.889893170782723,TRUE
"OC+Siegel",FALSE,"char_path_length",3.04271071839652,3.51087450691217,-0.468163788515649,0.146820969934639,0.142213241936393,-0.700545744032017,-1.124834899772,0.282893934507957,"parallel (t + Wilcoxon)",0.438626652751631,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"OC+Siegel",FALSE,"density",0.171213365178882,0.147577996715928,0.0236353684629547,0.1133591575369,0.208412803684149,0.782625355751247,1.39343091500131,0.727019258208242,"parallel (t + Wilcoxon)",0.438626652751631,FALSE,FALSE,1,1,0.782591082550288,TRUE
"OC+Siegel",FALSE,"clustering",0.64071919390492,0.616701867005932,0.0240173268989877,0.453327279045119,0.529368106184798,0.331787369290137,0.559788754994275,0.217593822876286,"parallel (t + Wilcoxon)",0.604032518207657,FALSE,FALSE,1,1,0.972323510589223,TRUE
"OC+Siegel",FALSE,"modularity",0.36215868106341,0.407486359402147,-0.0453276783387375,0.464640398621274,0.401678166469773,-0.323041354255607,-0.444831844549215,0.7185846162284,"parallel (t + Wilcoxon)",0.604032518207657,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"OC+Siegel",FALSE,"assortativity",0.273418569256262,0.37072502105299,-0.0973064517967275,0.290131151551294,0.29450739368011,-0.482797570487646,-0.734711930731642,0.169912791676996,"parallel (t + Wilcoxon)",0.471463121270852,FALSE,FALSE,-1,-1,-1.05779940989714,TRUE
"OC+Siegel",FALSE,"small_worldness",2.32041826111324,2.2728164980091,0.047601763104138,0.75724876095327,0.833935414088552,0.133305203515912,0.173968705597349,0.573120443653838,"parallel (t + Wilcoxon)",0.81816961294939,FALSE,FALSE,1,1,0.662116786827915,TRUE
"OC+Siegel",FALSE,"eigenvector",0.623521743876989,0.562660559683873,0.0608611841931167,0.165084139258903,0.142213241936393,0.663415971876197,1.10310233617823,0.78305009082802,"parallel (t + Wilcoxon)",0.438626652751631,FALSE,FALSE,1,1,1.26143843965516,TRUE
"OC+Siegel",FALSE,"betweenness",125.577586206897,146.858477011494,-21.2808908045977,0.236510323582425,0.208412803684149,-0.548954272643675,-0.850083139650868,0.693161180746617,"parallel (t + Wilcoxon)",0.439233458081646,FALSE,FALSE,-1,-1,-1.06530582356563,TRUE
"OC+Siegel",FALSE,"closeness",0.00415949839364795,0.00609467478860584,-0.00193517639495789,0.682200839438136,0.833935414088552,-0.177285597297269,-0.274959569844634,0.21639415006434,"parallel (t + Wilcoxon)",0.806237355699616,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"OC+Siegel",FALSE,"participation",0.321591322295316,0.327426001841125,-0.0058346795458083,0.81816961294939,1,-0.0989202156439474,-0.0948872339571215,0.664598836640533,"parallel (t + Wilcoxon)",0.81816961294939,FALSE,FALSE,-1,-1,-1.11100230107444,TRUE
"OC+Siegel",FALSE,"degree_entropy",6.05366072910734,5.82233088529115,0.231329843816191,0.0929698442534594,0.142213241936393,0.846004367336051,1.48017084202207,0.577659563003459,"parallel (t + Wilcoxon)",0.438626652751631,FALSE,FALSE,1,1,0.198820958841412,TRUE
"OC+24P",FALSE,"mean_strength",110.477055739926,83.9396245350211,26.5374312049052,0.126069128609914,0.208412803684149,0.748848067850441,1.11226578395919,0.00604588890263506,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,1,1,0.971293512870366,TRUE
"OC+24P",FALSE,"global_efficiency",0.505952436281277,0.413394084052408,0.0925583522288689,0.121231775289669,0.142213241936393,0.761272467891168,1.09617695712672,0.00213170349838937,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,1,1,0.889893170782723,TRUE
"OC+24P",FALSE,"char_path_length",2.40940414012989,2.95053413652922,-0.54112999639933,0.144425768389644,0.29450739368011,-0.705755228256949,-1.0977562233827,0.0197866656134936,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"OC+24P",FALSE,"density",0.195234363337812,0.189039408866995,0.00619495447081654,0.431470222215692,0.401678166469773,0.349159214993902,0.566571050278325,0.823905043854098,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,1,1,0.782591082550288,TRUE
"OC+24P",FALSE,"clustering",0.686226490354856,0.669877179275271,0.0163493110795853,0.474994493946095,0.401678166469773,0.315173089823038,0.530409171706529,0.242706541588591,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,1,1,0.972323510589223,TRUE
"OC+24P",FALSE,"modularity",0.302717845712172,0.324967550824956,-0.022249705112784,0.473426267235119,0.674986713970489,-0.316356717320532,-0.236466803515327,0.792311630386142,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"OC+24P",FALSE,"assortativity",0.127856348282394,0.254527499166081,-0.126671150883686,0.171404877503718,0.142213241936393,-0.651510909902414,-1.00334248720916,0.0383338697543636,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,-1,-1,-1.05779940989714,TRUE
"OC+24P",FALSE,"small_worldness",2.4510724752601,2.19035640907403,0.260716066186067,0.157345483411045,0.208412803684149,0.678622273072197,1.1340850481654,0.135947551887783,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,1,1,0.662116786827915,TRUE
"OC+24P",FALSE,"eigenvector",0.688800903607598,0.62585305922998,0.0629478443776178,0.065370908273928,0.0934924836898357,0.960333414355489,1.56645197921512,0.125244373019674,"parallel (t + Wilcoxon)",0.371377234591388,FALSE,FALSE,1,1,1.26143843965516,TRUE
"OC+24P",FALSE,"betweenness",96.4906609195402,110.145833333333,-13.6551724137931,0.365190835561501,0.529368106184798,-0.406418759337874,-0.643820998857828,0.853997327224197,"parallel (t + Wilcoxon)",0.617492842129924,FALSE,FALSE,-1,-1,-1.06530582356563,TRUE
"OC+24P",FALSE,"closeness",0.00980889951113559,0.00693768400680426,0.00287121550433133,0.657758917597311,1,0.192110328169647,0.301424428461138,0.459568531698063,"parallel (t + Wilcoxon)",0.71257216073042,FALSE,FALSE,1,-1,-0.0283659638346467,FALSE
"OC+24P",FALSE,"participation",0.346637193118318,0.350156148654898,-0.00351895553657986,0.8556125190481,0.833935414088552,-0.0782098693787346,-0.0498884827192636,0.509385738958892,"parallel (t + Wilcoxon)",0.8556125190481,FALSE,FALSE,-1,-1,-1.11100230107444,TRUE
"OC+24P",FALSE,"degree_entropy",6.12011296475763,6.08483937132339,0.0352735934342361,0.533785218437762,0.401678166469773,0.272668393217362,0.36292842479352,0.655334145439549,"parallel (t + Wilcoxon)",0.630837076335537,FALSE,FALSE,1,1,0.198820958841412,TRUE
"OC+aCompCor",FALSE,"mean_strength",96.7646971012451,67.7990426875151,28.9656544137299,0.093873478821344,0.0934924836898357,0.842899179546681,1.36594802139431,0.939836889463458,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,1,1,0.971293512870366,TRUE
"OC+aCompCor",FALSE,"global_efficiency",0.451060448165151,0.355048053172181,0.0960123949929697,0.121443248626784,0.142213241936393,0.760718764840188,1.23380392212725,0.883146147802669,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,1,1,0.889893170782723,TRUE
"OC+aCompCor",FALSE,"char_path_length",2.78996709187629,3.50671814338938,-0.716751051513093,0.0938052212605868,0.142213241936393,-0.843132635324062,-1.32148723337899,0.774310769428249,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,-1,-1,-1.03530951544767,TRUE
"OC+aCompCor",FALSE,"density",0.195588893864756,0.180393839876599,0.0151950539881574,0.115905613701093,0.0934924836898357,0.775555602452343,1.18324671063422,0.746152573537661,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,1,1,0.782591082550288,TRUE
"OC+aCompCor",FALSE,"clustering",0.697723777671554,0.668881311568501,0.0288424661030539,0.158173535617601,0.208412803684149,0.676960050182684,0.910285805402148,0.90359709061423,"parallel (t + Wilcoxon)",0.228472884780979,FALSE,FALSE,1,1,0.972323510589223,TRUE
"OC+aCompCor",FALSE,"modularity",0.312086493990414,0.362021821348891,-0.0499353273584761,0.143441406799381,0.142213241936393,-0.707921452539762,-0.529918882612413,0.417092314746886,"parallel (t + Wilcoxon)",0.228472884780979,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"OC+aCompCor",FALSE,"assortativity",0.159439044948372,0.348158029895639,-0.188718984947267,0.0408625186571098,0.0591720678258594,-1.11800781944957,-1.58572318742536,0.285107276237378,"parallel (t + Wilcoxon)",0.225537461735456,TRUE,FALSE,-1,-1,-1.05779940989714,TRUE
"OC+aCompCor",FALSE,"small_worldness",2.25253098973314,2.02640306159451,0.22612792813863,0.300424816983091,0.29450739368011,0.471375541628034,0.82362590718385,0.700116355815566,"parallel (t + Wilcoxon)",0.390552262078018,FALSE,FALSE,1,1,0.662116786827915,TRUE
"OC+aCompCor",FALSE,"eigenvector",0.672989375807558,0.599146406742078,0.0738429690654798,0.0274849456368479,0.0591720678258594,1.2572045558979,1.76836306675242,0.188704901217541,"parallel (t + Wilcoxon)",0.225537461735456,TRUE,FALSE,1,1,1.26143843965516,TRUE
"OC+aCompCor",FALSE,"betweenness",87.7097701149425,112.005747126437,-24.2959770114942,0.0869024423271209,0.0934924836898357,-0.86771511932875,-1.11218705608568,0.882743239876039,"parallel (t + Wilcoxon)",0.225537461735456,FALSE,FALSE,-1,-1,-1.06530582356563,TRUE
"OC+aCompCor",FALSE,"closeness",0.00305345786155973,0.00379176428661267,-0.000738306425052944,0.708930259636264,1,-0.161376389954906,-0.243498845190578,0.427671686120525,"parallel (t + Wilcoxon)",0.837826670479221,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"OC+aCompCor",FALSE,"participation",0.317571070282215,0.31553323456049,0.00203783572172499,0.894972267381969,1,0.0566937368614196,0.0287808189837934,0.537445085859742,"parallel (t + Wilcoxon)",0.937232301064722,FALSE,FALSE,1,-1,-1.11100230107444,FALSE
"OC+aCompCor",FALSE,"degree_entropy",6.00924878589063,6.00204541714401,0.00720336874661672,0.937232301064722,0.833935414088552,0.0337980369286795,0.0500541536172308,0.647864934559221,"parallel (t + Wilcoxon)",0.937232301064722,FALSE,FALSE,1,1,0.198820958841412,TRUE
"OC+36P+GSR",TRUE,"mean_strength",36.785963185472,41.0625884353543,-4.27662524988229,0.237939369134881,0.208412803684149,-0.547019829186989,-0.826895663310502,0.722974760854452,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,-1,1,0.971293512870366,FALSE
"OC+36P+GSR",TRUE,"global_efficiency",0.235591264236497,0.256662697304972,-0.021071433068475,0.192794636373217,0.208412803684149,-0.614195562772129,-0.861458670623641,0.795725764856107,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,-1,1,0.889893170782723,FALSE
"OC+36P+GSR",TRUE,"char_path_length",5.00706076045734,4.67797931317589,0.329081447281457,0.148910113661582,0.142213241936393,0.696071225322814,0.826666829759887,0.80623628237014,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,1,-1,-1.03530951544767,FALSE
"OC+36P+GSR",TRUE,"density",0.106247201074787,0.103746827884759,0.00250037319002836,0.449743168665658,0.674986713970489,0.334592046403467,0.305203233143145,0.737306487791807,"parallel (t + Wilcoxon)",0.730832649081694,FALSE,FALSE,1,1,0.782591082550288,TRUE
"OC+36P+GSR",TRUE,"clustering",0.575968497871357,0.596460071953801,-0.020491574082444,0.398358727703037,0.674986713970489,-0.37681477656951,-0.589602355836173,0.353003767221171,"parallel (t + Wilcoxon)",0.730832649081694,FALSE,FALSE,-1,1,0.972323510589223,FALSE
"OC+36P+GSR",TRUE,"modularity",0.49306551992805,0.498130726216054,-0.00506520628800436,0.890041207467987,0.833935414088552,-0.059377579456836,-0.063453147107877,0.734071640576699,"parallel (t + Wilcoxon)",0.964211308090319,FALSE,FALSE,-1,-1,-0.622641653373172,TRUE
"OC+36P+GSR",TRUE,"assortativity",0.414492213709333,0.41209041755264,0.00240179615669349,0.968888120407273,0.674986713970489,0.0167352689330548,0.0230585158033412,0.0307915583476131,"parallel (t + Wilcoxon)",0.968888120407273,FALSE,FALSE,1,-1,-1.05779940989714,FALSE
"OC+36P+GSR",TRUE,"small_worldness",2.05291458528049,2.2154003040225,-0.162485718742002,0.180347619941893,0.208412803684149,-0.635385461134817,-0.52590574491805,0.532277265719128,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,-1,1,0.662116786827915,FALSE
"OC+36P+GSR",TRUE,"eigenvector",0.52193365149455,0.511050118715285,0.0108835327792643,0.78118103601965,0.833935414088552,0.119679984731788,0.192863735666312,0.382979891891656,"parallel (t + Wilcoxon)",0.958696695868249,FALSE,FALSE,1,1,1.26143843965516,TRUE
"OC+36P+GSR",TRUE,"betweenness",191.75933908046,189.441091954023,2.31824712643678,0.811204896503903,0.833935414088552,0.102804175917807,0.122555826945355,0.791986437199456,"parallel (t + Wilcoxon)",0.958696695868249,FALSE,FALSE,1,-1,-1.06530582356563,FALSE
"OC+36P+GSR",TRUE,"closeness",0.00305894027669674,0.00598223997270145,-0.00292329969600471,0.331122488219265,0.401678166469773,-0.439235753805951,-0.764525258678467,0.768860288570827,"parallel (t + Wilcoxon)",0.717432057808408,FALSE,FALSE,-1,-1,-0.0283659638346467,TRUE
"OC+36P+GSR",TRUE,"participation",0.271403734621949,0.253471305977702,0.0179324286442469,0.641587312817759,0.674986713970489,0.202080060272865,0.255466308538755,0.982692366220373,"parallel (t + Wilcoxon)",0.926737229625651,FALSE,FALSE,1,-1,-1.11100230107444,FALSE
"OC+36P+GSR",TRUE,"degree_entropy",5.62863106022997,5.51008834894205,0.118542711287927,0.0947271482657006,0.0934924836898357,0.839994422752728,0.878237938072066,0.379113216332317,"parallel (t + Wilcoxon)",0.618642359750691,FALSE,FALSE,1,1,0.198820958841412,TRUE
