"seed","roi","roi_label","network","n","mean_PSIL","mean_MTP","mean_delta","d_z","d_av","p_value","p_wilcox","p_FDR","p_wilcox_FDR","significant","sig_wilcox"
"AMY",205,"Subcortex_THA-DP-rh","Subcortex",6,0.244340967995477,0.125262213061817,0.11907875493366,2.03365271616303,1.53741739550265,0.00417066392010919,0.0360316862182336,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",157,"RH_SalVentAttn_Med_2","SalVentAttn",6,0.248991816185671,0.0687928685092556,0.180198947676415,1.3103202596556,1.72453510446114,0.0237389126123917,0.0360316862182336,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",61,"LH_Cont_Par_1","Cont",6,0.26155277980177,0.107333111917001,0.15421966788477,1.19036026351933,2.0457930249226,0.0331761945196594,0.0591720678258594,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",228,"Subcortex_aGP-lh","Subcortex",6,0.107587333242458,0.0383574636770174,0.0692298695654405,1.1887991116228,1.74168590753816,0.0333240037063298,0.0591720678258594,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",213,"Subcortex_aPUT-rh","Subcortex",6,0.297958040431104,0.190841460142835,0.107116580288269,1.14985626398601,1.08167737077551,0.0372591538185114,0.0591720678258594,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",159,"RH_Limbic_OFC_1","Limbic",6,0.172970428663177,0.0601582678006671,0.11281216086251,1.14442263057097,1.11873174643815,0.0378481651637634,0.0591720678258594,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",165,"RH_Cont_Par_1","Cont",6,0.200306776783579,0.0213914349155616,0.178915341868018,1.13464052588334,1.51148167237176,0.0389347596187973,0.0591720678258594,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",227,"Subcortex_pGP-lh","Subcortex",6,0.0944090635697839,0.0420754047441772,0.0523336588256067,1.13033787970582,1.91275341402548,0.0394236045180431,0.0591720678258594,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",42,"LH_DorsAttn_FEF_2","DorsAttn",6,0.228652779852615,0.109158409458367,0.119494370394247,1.12772502166139,1.84271970016162,0.0397237785067724,0.0934924836898357,0.563521170617515,0.531551133795041,FALSE,FALSE
"AMY",60,"LH_Limbic_TempPole_4","Limbic",6,0.260958196343247,0.177859154774961,0.0830990415682858,1.09877654414691,1.69914482601799,0.0432240597777971,0.0591720678258594,0.563521170617515,0.531551133795041,FALSE,FALSE
"HIP",227,"Subcortex_pGP-lh","Subcortex",6,0.142006077516296,0.0190786030323552,0.122927474483941,3.03981702915491,5.32464077317336,0.00068900449255762,0.0360316862182336,0.0994605400544962,0.245295117532654,FALSE,FALSE
"HIP",228,"Subcortex_aGP-lh","Subcortex",6,0.146487362651308,0.0409336559379023,0.105553706713406,2.88862556284696,2.57088657075152,0.00087246087767102,0.0360316862182336,0.0994605400544962,0.245295117532654,FALSE,FALSE
"HIP",159,"RH_Limbic_OFC_1","Limbic",6,0.257279142890938,0.13110860754968,0.126170535341258,2.18816479066923,1.02392276505918,0.00303961039486702,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"HIP",61,"LH_Cont_Par_1","Cont",6,0.492461255874716,0.195411996049944,0.297049259824772,1.98244039171746,3.05219900277487,0.00464950863260627,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"HIP",168,"RH_Cont_Temp_1","Cont",6,0.453099435690293,0.217285595675663,0.23581384001463,1.90448636302052,1.84371080833818,0.00550717418233325,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"HIP",213,"Subcortex_aPUT-rh","Subcortex",6,0.430539853553843,0.229665580426158,0.200874273127685,1.76483369441752,1.34991831046137,0.00754956604656444,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"HIP",167,"RH_Cont_Par_3","Cont",6,0.456177950032441,0.236720240029166,0.219457710003276,1.74541496969498,2.25600001110518,0.00789820644700067,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"HIP",177,"RH_Cont_pCun_1","Cont",6,0.451221734723242,0.266976953611809,0.184244781111433,1.67068855776316,1.36193996272767,0.00942524915639405,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"HIP",210,"Subcortex_NAc-core-rh","Subcortex",6,0.287292582603015,0.202184059606321,0.0851085229966941,1.61528226968435,0.631518333083703,0.0107792039913419,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"HIP",65,"LH_Cont_OFC_1","Cont",6,0.419239377483573,0.192959189196518,0.226280188287056,1.57569608859345,2.16482342479696,0.0118841959023738,0.0360316862182336,0.20293536863458,0.245295117532654,FALSE,FALSE
"NAc",182,"RH_Default_Par_1","Default",6,0.236789366947077,0.115806672107373,0.120982694839705,2.58295668697446,1.01368047430733,0.00145411542058444,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",115,"RH_Vis_15","Vis",6,0.197083591722263,0.0952802151272178,0.101803376595045,2.34912252123706,1.34208291931127,0.00222442802848415,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",197,"RH_Default_PFCdPFCm_7","Default",6,0.271145743769797,0.137788536110726,0.133357207659071,2.04564847185513,2.01993065238921,0.00406697702775627,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",124,"RH_SomMot_9","SomMot",6,0.224651419814551,0.127757849640002,0.0968935701745493,1.95057494376256,1.06239374984963,0.00497981615335956,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",205,"Subcortex_THA-DP-rh","Subcortex",6,0.238521516942837,0.136815755820467,0.10170576112237,1.91133812489947,1.13272725620458,0.00542480345769419,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",132,"RH_SomMot_17","SomMot",6,0.21677714020865,0.13193726684271,0.0848398733659402,1.8669716516828,1.14979632156935,0.00598481366193431,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",170,"RH_Cont_PFCl_1","Cont",6,0.26642215051374,0.114038896563817,0.152383253949923,1.83711736628575,2.25340956484025,0.00639953549150353,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",29,"LH_SomMot_15","SomMot",6,0.276174454870921,0.183390650724685,0.0927838041462369,1.83156267954527,0.883759330705007,0.00648033150201398,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",227,"Subcortex_pGP-lh","Subcortex",6,0.0875972240364812,0.0307690187297413,0.05682820530674,1.66644265910003,1.99545405802419,0.00952177920316579,0.0591720678258594,0.166581389245025,0.182313938706702,FALSE,FALSE
"NAc",186,"RH_Default_Temp_2","Default",6,0.229796373175436,0.127589973167074,0.102206400008363,1.62724318054053,1.01999110797279,0.0104689145510286,0.0360316862182336,0.166581389245025,0.182313938706702,FALSE,FALSE
"PUT",170,"RH_Cont_PFCl_1","Cont",6,0.490196301889414,0.155634379993211,0.334561921896202,6.79568821762162,4.4868085457859,1.42925740436925e-05,0.0360316862182336,0.00222465353026342,0.0899415430953063,TRUE,FALSE
"PUT",66,"LH_Cont_PFCl_1","Cont",6,0.419879226787659,0.158827826911862,0.261051399875797,6.37879985188666,3.4268905156966,1.95145046514335e-05,0.0360316862182336,0.00222465353026342,0.0899415430953063,TRUE,FALSE
"PUT",137,"RH_DorsAttn_Post_3","DorsAttn",6,0.589130705355186,0.287644380242848,0.301486325112338,4.3739758352013,3.62480508720159,0.000122698336510008,0.0360316862182336,0.00760510768392687,0.0899415430953063,TRUE,FALSE
"PUT",60,"LH_Limbic_TempPole_4","Limbic",6,0.40940088797305,0.213593762961037,0.195807125012013,4.29855845898978,4.0917898185782,0.000133422941823278,0.0360316862182336,0.00760510768392687,0.0899415430953063,TRUE,FALSE
"PUT",160,"RH_Limbic_OFC_2","Limbic",6,0.506703379406128,0.223393263935544,0.283310115470584,3.53986792384941,3.63206842530214,0.000337294884124055,0.0360316862182336,0.0151630316936534,0.0899415430953063,TRUE,FALSE
"PUT",195,"RH_Default_PFCdPFCm_5","Default",6,0.456620803384873,0.158960968621294,0.297659834763578,3.40362361448503,3.85060621900962,0.0004059761037222,0.0360316862182336,0.0151630316936534,0.0899415430953063,TRUE,FALSE
"PUT",65,"LH_Cont_OFC_1","Cont",6,0.444725194379691,0.192699299788628,0.252025894591063,3.30600136070686,2.64094273091757,0.000465531674805148,0.0360316862182336,0.0151630316936534,0.0899415430953063,TRUE,FALSE
"PUT",93,"LH_Default_PFC_11","Default",6,0.432219634288987,0.157712546483842,0.274507087805145,3.09386221778624,2.79273704659396,0.000634792255383363,0.0360316862182336,0.0158973452413695,0.0899415430953063,TRUE,FALSE
"PUT",139,"RH_DorsAttn_Post_5","DorsAttn",6,0.584609216754965,0.305879308507597,0.278729908247368,3.03931322149352,2.86378942064995,0.000689535103164659,0.0360316862182336,0.0158973452413695,0.0899415430953063,TRUE,FALSE
"PUT",127,"RH_SomMot_12","SomMot",6,0.514757961726608,0.299097885679772,0.215660076046836,3.03203765636534,2.86396662417504,0.000697251984270593,0.0360316862182336,0.0158973452413695,0.0899415430953063,TRUE,FALSE
"THA",227,"Subcortex_pGP-lh","Subcortex",6,0.16630326196775,0.0846714083748364,0.0816318535929136,4.27741278511093,2.45374810278243,0.000136628203447266,0.0360316862182336,0.0306047175721875,0.162343537569947,TRUE,FALSE
"THA",159,"RH_Limbic_OFC_1","Limbic",6,0.228710403700086,0.106859768738753,0.121850634961333,2.41458093336705,1.14645002756905,0.00196843041256963,0.0360316862182336,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",134,"RH_SomMot_19","SomMot",6,0.454153174386947,0.278235138964458,0.175918035422488,1.98070036443271,2.35707646267245,0.00466687239291035,0.0360316862182336,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",157,"RH_SalVentAttn_Med_2","SalVentAttn",6,0.537567636765178,0.273992040439186,0.263575596325992,1.75888216780566,2.37452021720123,0.00765449016082205,0.0360316862182336,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",210,"Subcortex_NAc-core-rh","Subcortex",6,0.288391129702643,0.184936483124749,0.103454646577894,1.65396938815816,1.16817097260631,0.00981201823824289,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",145,"RH_DorsAttn_FEF_1","DorsAttn",6,0.499014538994801,0.272316697852418,0.226697841142383,1.63282788159414,2.34355848094905,0.0103275651461874,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",68,"LH_Cont_PFCl_3","Cont",6,0.501028107023216,0.21215328437821,0.288874822645007,1.49297170163075,2.51952681772776,0.0146404352501542,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",61,"LH_Cont_Par_1","Cont",6,0.433229290559865,0.183470417448753,0.249758873111112,1.47522413251482,2.54751067987657,0.0153231431762007,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",191,"RH_Default_PFCdPFCm_1","Default",6,0.31637919846288,0.218661398202814,0.097717800260066,1.45429975526325,0.781015964453302,0.0161752099033698,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
"THA",65,"LH_Cont_OFC_1","Cont",6,0.397345479299219,0.202846937518124,0.194498541781096,1.35186736519174,1.6416384221743,0.0212080956998425,0.0591720678258594,0.149300898000276,0.162343537569947,FALSE,FALSE
